"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C50_5","SMD_0805_CAPC2012X145N","-8.25mm","53mm","-8.25mm","53mm","-8.25mm","52.1mm","T","90.00","22uF/6.3V"
"C41_5","SMD_0805_CAPC2012X145N","-21.9284mm","44.0999mm","-21.9284mm","44.0999mm","-21.0284mm","44.0999mm","T","180.00","22uF/6.3V"
"C44_5","SMD_0805_CAPC2012X145N","-21.9285mm","52.1249mm","-21.9285mm","52.1249mm","-21.0285mm","52.1249mm","T","180.00","22uF/6.3V"
"C44_6","SMD_0805_CAPC2012X145N","-21.9285mm","68.0998mm","-21.9285mm","68.0998mm","-21.0285mm","68.0998mm","T","180.00","22uF/6.3V"
"C237","SMD_0805_CAPC2012X145N","16.2152mm","65.225mm","16.2152mm","65.225mm","16.2152mm","64.325mm","T","90.00","22uF/6.3V"
"C41_6","SMD_0805_CAPC2012X145N","-21.9285mm","66.0998mm","-21.9285mm","66.0998mm","-21.0285mm","66.0998mm","T","180.00","22uF/6.3V"
"C43_5","SMD_0805_CAPC2012X145N","-21.9284mm","50.0999mm","-21.9284mm","50.0999mm","-21.0284mm","50.0999mm","T","180.00","22uF/6.3V"
"C42_5","SMD_0805_CAPC2012X145N","-21.9284mm","48.0999mm","-21.9284mm","48.0999mm","-21.0284mm","48.0999mm","T","180.00","22uF/6.3V"
"C42_6","SMD_0805_CAPC2012X145N","-17.9749mm","65.5mm","-17.9749mm","65.5mm","-17.9749mm","66.4mm","T","270.00","22uF/6.3V"
"C49_6","SMD_0805_CAPC2012X145N","-14.25mm","73mm","-14.25mm","73mm","-14.25mm","72.1mm","T","90.00","22uF/6.3V"
"C11-5","SMD_0805_CAPC2012X145N","-32.75mm","43mm","-32.75mm","43mm","-33.65mm","43mm","T","360.00","10uF/16V"
"Q1_5","SMD_SON127P615X520X100-8N","-30.8823mm","39.0251mm","-30.8823mm","39.0251mm","-28.1323mm","37.1201mm","T","180.00","AP1RA03GMT-3"
"C72","SMD_0603_CAPC1608X80N","31.05mm","51.5mm","31.05mm","51.5mm","30.25mm","51.5mm","T","360.00","100nF"
"C73","SMD_0603_CAPC1608X80N","39mm","64.2mm","39mm","64.2mm","39mm","65mm","T","270.00","100nF"
"C74","SMD_0603_CAPC1608X80N","18mm","64.8mm","18mm","64.8mm","18mm","64mm","T","90.00","100nF"
"C75","SMD_0603_CAPC1608X80N","38.999mm","68.55mm","38.999mm","68.55mm","38.999mm","67.75mm","T","90.00","100nF"
"C76","SMD_0603_CAPC1608X80N","40.5mm","64.2mm","40.5mm","64.2mm","40.5mm","65mm","T","270.00","100nF"
"C85","SMD_0603_CAPC1608X80N","19.95mm","84.5mm","19.95mm","84.5mm","19.95mm","83.7mm","T","90.00","18pF"
"C86","SMD_0603_CAPC1608X80N","19.95mm","72.9258mm","19.95mm","72.9258mm","19.95mm","73.7258mm","T","270.00","18pF"
"C17","SMD_0805_CAPC2012X145N","19.75mm","64mm","19.75mm","64mm","19.75mm","64.9mm","T","270.00","10uF/16V"
"C34","SMD_0603_CAPC1608X80N","40.4976mm","68.55mm","40.4976mm","68.55mm","40.4976mm","67.75mm","T","90.00","100nF"
"C63","SMD_0805_CAPC2012X145N","17.25mm","54mm","17.25mm","54mm","16.35mm","54mm","T","360.00","22uF/6.3V"
"R1","SMD_0603_RESC1608X55N","31.05mm","48.5mm","31.05mm","48.5mm","30.25mm","48.5mm","T","360.00","1k"
"Y1","SMD_HC49_XTAL1140X480X420N","23.35mm","78.7mm","23.35mm","78.7mm","23.35mm","83.35mm","T","270.00","Q4.000 MHz HC-49SM SMD"
"C187","SMD_0805_CAPC2012X145N","39.25mm","78mm","39.25mm","78mm","38.35mm","78mm","T","360.00","10uF/16V"
"C1_5","SMD_0805_CAPC2012X145N","-28.25mm","54mm","-28.25mm","54mm","-29.15mm","54mm","T","360.00","10uF/16V"
"C3_5","SMD_0805_CAPC2012X145N","-29.3823mm","46.0251mm","-29.3823mm","46.0251mm","-29.3823mm","46.9251mm","T","270.00","100nF/50V"
"Q2_5","SMD_SON127P615X520X100-8N","-23.995mm","39.25mm","-23.995mm","39.25mm","-22.09mm","42mm","T","270.00","AP1RA03GMT-3"
"U1","SMD_QFP50P1200X1200X120-64N","30.5mm","64.25mm","30.5mm","64.25mm","26.75mm","58.5mm","T","90.00","dsPIC33EP256MU806"
"J3","SMD_CON-CVILUX-CU04-SCM15B0","31.7mm","81.7mm","31.7mm","81.5mm","33.3mm","78.9mm","T","180.00","CU04SCM15B0-R0"
"D1_6","SMD_SOT23_SOT95P240X120-3N","-28.3499mm","71.2999mm","-28.3499mm","71.2999mm","-27.1999mm","70.3499mm","T","180.00","BAT54C"
"R40","SMD_0603_RESC1608X55N","20.5mm","54mm","20.5mm","54mm","19.7mm","54mm","T","360.00","10k"
"C231","SMD_0805_CAPC2012X145N","1.5mm","73.25mm","1.5mm","73.25mm","0.6mm","73.25mm","T","360.00","10uF/16V"
"C249","SMD_0805_CAPC2012X145N","43mm","66mm","43mm","66mm","42.1mm","66mm","T","360.00","22uF/6.3V"
"C250","SMD_0805_CAPC2012X145N","43mm","70mm","43mm","70mm","42.1mm","70mm","T","360.00","22uF/6.3V"
"R47","SMD_1206_RESC3216X180N","9.5mm","65.25mm","9.5mm","65.25mm","8mm","65.25mm","T","360.00","2"
"U19","SMD_SOIC127P602X173-8N","40.5mm","73.95mm","40.5mm","73.95mm","43.3mm","72.045mm","T","180.00","BD33KA5WF"
"C1_1S","SMD_0603_CAPC1608X80N","30mm","21.7mm","30mm","21.7mm","30mm","22.5mm","T","270.00","470nF"
"C5-2S","SMD_0603_CAPC1608X80N","21.7mm","15.75mm","21.7mm","15.75mm","22.5mm","15.75mm","T","180.00","470nF"
"C4-5S","SMD_0603_CAPC1608X80N","10mm","-21.7mm","10mm","-21.7mm","10mm","-22.5mm","T","90.00","470nF"
"C2-4S","SMD_0603_CAPC1608X80N","31.5mm","-21.7mm","31.5mm","-21.7mm","31.5mm","-22.5mm","T","90.00","470nF"
"C9-4S","SMD_0603_CAPC1608X80N","21.7mm","-34.25mm","21.7mm","-34.25mm","22.5mm","-34.25mm","T","180.00","470nF"
"C13-2S","SMD_0603_CAPC1608X80N","34.5mm","1.7mm","34.5mm","1.7mm","34.5mm","2.5mm","T","270.00","470nF"
"C10-6S","SMD_0603_CAPC1608X80N","5.5mm","-18.3mm","5.5mm","-18.3mm","5.5mm","-17.5mm","T","270.00","470nF"
"C11-6S","SMD_0603_CAPC1608X80N","7mm","-18.3mm","7mm","-18.3mm","7mm","-17.5mm","T","270.00","470nF"
"C1-6S","SMD_0603_CAPC1608X80N","5.5mm","-1.7mm","5.5mm","-1.7mm","5.5mm","-2.5mm","T","90.00","470nF"
"C2-6S","SMD_0603_CAPC1608X80N","6.9992mm","-1.7001mm","6.9992mm","-1.7001mm","6.9992mm","-2.5mm","T","90.00","470nF"
"C3-6S","SMD_0603_CAPC1608X80N","8.5mm","-1.7mm","8.5mm","-1.7mm","8.5mm","-2.5mm","T","90.00","470nF"
"C4-6S","SMD_0603_CAPC1608X80N","10mm","-1.7mm","10mm","-1.7mm","10mm","-2.5mm","T","90.00","470nF"
"C3-8S","SMD_0603_CAPC1608X80N","18.3mm","30.75mm","18.3mm","30.75mm","17.5mm","30.75mm","T","360.00","470nF"
"C9-8S","SMD_0603_CAPC1608X80N","8.5mm","21.7mm","8.5mm","21.7mm","8.5mm","22.5mm","T","270.00","470nF"
"C5-6S","SMD_0603_CAPC1608X80N","18.325mm","-5.5mm","18.325mm","-5.5mm","17.525mm","-5.5mm","T","360.00","470nF"
"C8-6S","SMD_0603_CAPC1608X80N","18.325mm","-14.25mm","18.325mm","-14.25mm","17.525mm","-14.25mm","T","360.00","470nF"
"C6-6S","SMD_0603_CAPC1608X80N","18.325mm","-9.25mm","18.325mm","-9.25mm","17.525mm","-9.25mm","T","360.00","470nF"
"C7-6S","SMD_0603_CAPC1608X80N","18.325mm","-10.75mm","18.325mm","-10.75mm","17.525mm","-10.75mm","T","360.00","470nF"
"C7-7S","SMD_0603_CAPC1608X80N","18.3mm","10.75mm","18.3mm","10.75mm","17.5mm","10.75mm","T","360.00","470nF"
"C8-7S","SMD_0603_CAPC1608X80N","18.3mm","9.25mm","18.3mm","9.25mm","17.5mm","9.25mm","T","360.00","470nF"
"C5-7S","SMD_0603_CAPC1608X80N","18.3mm","15.75mm","18.3mm","15.75mm","17.5mm","15.75mm","T","360.00","470nF"
"C6-7S","SMD_0603_CAPC1608X80N","18.3mm","14.25mm","18.3mm","14.25mm","17.5mm","14.25mm","T","360.00","470nF"
"C9-3S","SMD_0603_CAPC1608X80N","21.7mm","-15.75mm","21.7mm","-15.75mm","22.5mm","-15.75mm","T","180.00","470nF"
"C12-6S","SMD_0603_CAPC1608X80N","8.5mm","-18.3mm","8.5mm","-18.3mm","8.5mm","-17.5mm","T","270.00","470nF"
"C13-6S","SMD_0603_CAPC1608X80N","10mm","-18.3mm","10mm","-18.3mm","10mm","-17.5mm","T","270.00","470nF"
"C8-3S","SMD_0603_CAPC1608X80N","21.7mm","-14.25mm","21.7mm","-14.25mm","22.5mm","-14.25mm","T","180.00","470nF"
"C4-3S","SMD_0603_CAPC1608X80N","34.5mm","-1.7mm","34.5mm","-1.7mm","34.5mm","-2.5mm","T","90.00","470nF"
"C3-3S","SMD_0603_CAPC1608X80N","33mm","-1.7mm","33mm","-1.7mm","33mm","-2.5mm","T","90.00","470nF"
"C1-3S","SMD_0603_CAPC1608X80N","30mm","-1.7mm","30mm","-1.7mm","30mm","-2.5mm","T","90.00","470nF"
